pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FT,9/4/2016,94.6,1.8388,5.9919,Tom Murphy,608596,571578,home_run,hit_into_play_score,,,,,13,Tom Murphy homers (1) on a fly ball to left field.,R,R,L,COL,ARI,X,null,fly_ball,1,2,2016,0.494858333,0.833533333,-0.973,2.04,null,null,null,1,7,Bot,11.33,71.55,,,488912,,160904_162603,-9.408,-137.321,-6.018,8.762,24.202,-23.47,3.26,1.43,482,108.8,27.822,96.2,2422,6.778,448894,571578,488912,502671,516416,571875,572008,592273,593647,571812,53.7227,0.979,1.943,2,1,0,3,6,54,5
FF,7/21/2016,93,1.5007,5.8102,Mark Reynolds,448602,543017,home_run,hit_into_play_score,,,,,5,Mark Reynolds homers (10) on a fly ball to left center field.,R,R,L,COL,ATL,X,null,fly_ball,2,0,2016,0.386308333,1.113033333,0.2,2.752,null,null,null,0,7,Bot,67,10,,,null,,160721_204749,-5.132,-135.342,-3.974,7.05,23.025,-20.004,3.6,1.64,484,108.8,28.2513,null,null,null,448289,null,null,null,null,null,null,null,null,null,54.4504,0.979,1.943,2,1,0,3,6,54,3
FF,7/23/2017,91.7,-2.6904,6.1435,Trevor Story,596115,467100,home_run,hit_into_play_score,,,,,2,Trevor Story homers (13) on a line drive to left field.   Carlos Gonzalez scores.  ,R,R,R,COL,PIT,X,null,line_drive,1,0,2017,-0.3587,0.7271,-0.2346,3.0367,null,null,471865,0,6,Bot,14.15,58.8,,,465041,,170723_211022,6.9819,-133.3542,-3.6443,-5.5994,24.2548,-22.9164,3.557,1.419,420,108.7,22.901,92.336,2105,6.357,491571,467100,465041,605137,543281,501896,474568,516782,457705,591741,54.1435,0.974,1.83,2,1,0,3,6,51,2
CU,8/16/2017,80.8,-2.2888,6.3564,Trevor Story,596115,592426,home_run,hit_into_play_score,,,,,7,Trevor Story homers (17) on a line drive to left field.   Carlos Gonzalez scores.  ,R,R,R,COL,ATL,X,null,line_drive,2,2,2017,0.3594,-0.1636,-0.6779,1.9243,null,null,471865,2,4,Bot,17.93,73.68,,,435559,,170817_022258,2.907,-117.6192,-3.0272,2.8931,18.6779,-33.4079,3.3087,1.3653,388,108.6,19.021,81.193,2292,6.172,491889,592426,435559,518692,645277,408252,621020,542454,542255,455976,54.3279,0.857,1.332,2,1,0,3,6,38,6
FF,6/16/2017,95.1,-2.5853,5.9032,Jeff Samardzija,502188,622608,home_run,hit_into_play_score,,,,,6,Jeff Samardzija homers (1) on a fly ball to center field.   Austin Slater scores.  ,R,R,R,COL,SF,X,null,fly_ball,2,0,2017,-0.4349,1.3776,0.3469,2.7823,null,null,596103,2,5,Top,155.74,11.65,,,547172,,170617_020813,8.6865,-138.1783,-5.7153,-7.2848,25.604,-13.3088,3.5816,1.7116,446,108.5,20.958,96.024,2112,6.524,491110,622608,547172,435622,518934,571448,506560,606132,453568,471865,53.9762,0.936,1.637,2,1,0,3,6,34,3
FF,7/22/2017,92.7,-3.1357,6.2157,Josh Bell,605137,608566,home_run,hit_into_play_score,,,,,9,Josh Bell homers (18) on a line drive to right field.  ,R,L,R,COL,PIT,X,null,line_drive,2,1,2017,-0.1525,1.4738,0.2921,1.9372,null,null,null,0,4,Top,216.34,50.27,,,547172,,170723_010802,8.8384,-134.2189,-8.0205,-3.4363,25.0642,-13.6529,3.4701,1.5317,409,108.5,19.666,90.877,2108,5.152,491556,608566,547172,448602,518934,571448,596115,435622,453568,471865,55.348,0.905,1.496,2,1,0,3,6,27,4
CU,8/30/2017,79.6,-2.5298,6.3005,Charlie Blackmon,453568,434378,home_run,hit_into_play_score,,,,,2,Charlie Blackmon homers (32) on a fly ball to center field.  ,R,L,R,COL,DET,X,null,fly_ball,1,1,2017,0.4565,-0.5436,0.2745,2.8232,null,null,null,0,6,Bot,137.34,15.37,,,543510,,170830_211126,5.2264,-115.75,-0.0812,3.2618,16.4806,-37.1433,3.257,1.359,404,108.3,26.205,78.7,2734,5.173,492082,434378,543510,543308,553988,592206,578428,457708,592444,543484,55.3274,0.973,1.91,2,1,0,3,6,48,3
CH,8/4/2016,83.2,-2.5101,5.592,Corey Seager,608369,543022,home_run,hit_into_play_score,,,,,5,Corey Seager homers (19) on a fly ball to right center field.,R,L,R,COL,LAD,X,null,fly_ball,0,0,2016,-0.604558333,0.8106,-0.208,2.524,null,null,null,1,5,Top,185.27,27.81,,,547172,,160804_200333,5.524,-121.068,-1.767,-5.136,20.255,-25.686,3.6,1.58,449,108.3,23.132,83.747,1663,6.188,448479,543022,547172,448602,518934,571448,542436,501255,453568,621311,54.3118,0.961,1.781,2,1,0,3,6,37,1
FF,5/14/2017,95.8,-2.5527,5.8685,Corey Seager,608369,622608,home_run,hit_into_play_score,,,,,6,Corey Seager homers (6) on a fly ball to right center field.    Joc Pederson scores.  ,R,L,R,COL,LAD,X,null,fly_ball,3,2,2017,-0.3168,1.259,0.6191,2.619,null,null,592626,0,1,Top,170.11,22.96,,,572863,,170514_191858,9.1159,-139.1804,-5.8975,-5.9358,26.7068,-14.5811,3.58,1.58,427,108.1,41.66,96.624,2118,6.521,490660,622608,572863,448602,518934,571448,642162,435622,453568,471865,53.9794,0.644,1.256,2,1,0,3,6,2,8
FF,4/8/2016,96.3,-3.5596,6.2973,Matt Kemp,461314,502522,home_run,hit_into_play_score,,,,,5,Matt Kemp homers (1) on a fly ball to left center field.   Jon Jay scores.    Cory Spangenberg scores.,R,R,R,COL,SD,X,null,fly_ball,0,2,2016,-0.7145,1.518666667,-0.237,2.549,null,445055,605486,2,5,Top,87.92,16.77,,,460026,,160408_162724,9.685,-139.657,-7.681,-8.186,35.429,-14.177,3.59,1.75,452,108.1,28.953,95.047,2439,6.22,446923,502522,460026,448602,518934,571448,596115,467827,453568,471865,54.2799,0.965,1.915,2,1,0,3,6,53,5
