pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,8/5/2015,95.9,-1.7361,6.5706,Franklin Gutierrez,429711,446099,home_run,hit_into_play_score,,,,,7,Franklin Gutierrez homers (4) on a line drive to left center field.   Nelson Cruz scores.,R,R,R,COL,SEA,X,null,line_drive,1,0,2015,-0.558633333,0.759,-0.618,1.966,null,443558,null,1,7,Top,62.95,28.99,,,null,,150805_212202,3.686,-139.381,-7.428,-6.18,25.788,-24.287,3.3,1.43,450,109,23.54,97.025,2190,6.719,415263,null,null,null,null,null,null,null,null,null,53.7796,0.981,1.884,2,1,0,3,6,56,2
CH,8/23/2015,84.3,-2.1879,5.7133,Carlos Gonzalez,471865,548337,home_run,hit_into_play_score,,,,,1,Carlos Gonzalez homers (30) on a line drive to center field.,R,L,R,COL,NYM,X,null,line_drive,2,1,2015,-1.059633333,0.387766667,-0.592,3.036,null,null,null,0,4,Bot,118.28,16.28,,,489232,,150823_152833,5.285,-122.688,-0.442,-10.138,25.235,-30.114,3.56,1.65,459,108.8,23.259,84.145,1673,6.399,415502,548337,489232,502517,430637,346874,527038,624424,493316,434158,54.1003,0.974,1.83,2,1,0,3,6,33,4
FS,4/25/2015,82.3,-1.462,5.1798,Carlos Gonzalez,471865,218596,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez homers (2) on a fly ball to center field.,R,L,R,COL,SF,X,null,fly_ball,1,0,2015,-0.930208333,0.0237,0.04,2.032,null,null,null,2,6,Bot,141.72,8.13,,,572180,,150425_202041,4.612,-119.78,-0.554,-8.315,24.145,-33.873,3.56,1.67,446,108.3,25.426,81.546,1326,5.924,413910,218596,572180,457763,622110,431171,543063,493114,434636,452239,54.5445,0.976,1.894,2,1,0,3,6,53,2
FT,9/27/2015,91.6,1.7832,5.1517,Nolan Arenado,571448,622072,home_run,hit_into_play_score,,,,,4,Nolan Arenado homers (41) on a fly ball to left center field.   Chris Rusin scores.    DJ LeMahieu scores.,R,R,L,COL,LAD,X,null,fly_ball,3,2,2015,1.176775,0.855033333,-0.398,2.312,543734,null,518934,2,4,Bot,55.84,28.48,,,454560,,,-8.16,-133.176,-2.907,16.567,33.425,-24.038,3.47,1.6,426,108.3,37.137,90.906,2113,6.43,415975,622072,454560,475100,435062,648717,276519,448605,592626,502317,54.0691,0.79,1.556,2,1,0,3,6,42,6
FC,4/25/2015,88.2,2.401,5.7058,Andrew Susac,572180,407822,home_run,hit_into_play_score,,,,,7,Andrew Susac homers (1) on a line drive to left field.,R,R,L,COL,SF,X,null,line_drive,1,1,2015,-0.27195,0.641466667,-0.605,1.92,null,null,null,2,4,Top,20.83,79.75,,,460026,,150425_191445,-6.777,-128.225,-4.55,-1.7,26.044,-26.963,3.37,1.5,376,108.1,18.31,87.294,2122,5.772,413910,407822,460026,408047,518934,571448,453064,572816,453568,471865,54.6966,0.776,1.106,2,1,0,3,6,30,3
CU,8/21/2015,80.1,1.1294,6.6071,Yoenis Cespedes,493316,543184,home_run,hit_into_play_score,,,,,8,Yoenis Cespedes homers (23) on a line drive to right center field.    Daniel Murphy scores.,R,R,L,COL,NYM,X,null,line_drive,1,0,2015,-0.536366667,-0.5783,-0.162,1.568,null,null,502517,1,6,Top,180.72,34.08,,,460026,,150821_204650,-1.856,-116.598,-2.952,-4.033,21.351,-39.595,3.52,1.58,419,108.1,23.297,79.489,2764,5.93,415472,543184,460026,572019,518934,571448,408314,488681,453568,471865,54.5694,0.961,1.781,2,1,0,3,6,57,2
SL,7/21/2015,85.8,1.1991,6.1299,Prince Fielder,425902,456071,home_run,hit_into_play_score,,,,,8,Prince Fielder homers (15) on a line drive to center field.,R,L,L,COL,TEX,X,null,line_drive,3,1,2015,-0.000575,0.781933333,-0.036,2.21,null,null,null,1,6,Top,138.64,21.87,,,460026,,150721_204330,-2.939,-124.911,-4.25,1.457,27.14,-25.744,3.43,1.66,446,108.1,23.751,84.532,1828,5.745,415057,456071,460026,501647,518934,571448,453064,453211,453568,488681,54.7537,0.971,1.852,2,1,0,3,6,51,5
CU,5/20/2015,81.5,-2.0242,5.9352,Ryan Howard,429667,572750,home_run,hit_into_play_score,,,,,7,Ryan Howard homers (8) on a fly ball to center field.,R,L,R,COL,PHI,X,null,fly_ball,1,1,2015,0.059266667,-0.374766667,-0.404,2.223,null,null,null,1,3,Top,105.08,15.77,,,460026,,150520_192556,2.815,-118.661,-1.295,1.936,23.531,-37.794,3.7,1.76,448,108.1,30.684,80.037,2554,5.352,414252,572750,460026,501647,518934,571448,453064,572019,453568,471865,55.1166,0.952,1.893,2,1,0,3,6,19,3
FC,6/23/2015,86.6,-1.2229,6.9202,Welington Castillo,456078,452718,home_run,hit_into_play_score,,,,,2,Welington Castillo homers (5) on a line drive to center field.   David Peralta scores.,R,R,R,COL,ARI,X,null,line_drive,1,0,2015,-0.102166667,1.1159,0.219,3.185,null,444482,null,2,2,Top,144.67,18.82,,,460026,,150623_191012,3.262,-126.007,-3.942,0.323,24.713,-21.792,3.42,1.48,458,108,24.483,85.431,2358,5.571,414710,452718,460026,501647,518934,571448,453064,572019,453568,488681,54.9283,0.971,1.852,2,1,0,3,6,11,2
FC,6/17/2015,89.2,-1.4658,6.4865,Carlos Correa,621043,452718,home_run,hit_into_play_score,,,,,13,Carlos Correa homers (3) on a line drive to left field.   George Springer scores.,R,R,R,COL,HOU,X,null,line_drive,0,2,2015,-0.73955,1.204766667,-1.321,2.168,543807,null,null,0,1,Top,15.74,95.63,,,460026,,150617_184824,1.891,-129.72,-6.3,-7.488,26.436,-20.114,3.67,1.71,456,107.8,25.921,87.972,2008,5.633,414633,452718,460026,501647,518934,571448,453064,488681,453568,471865,54.8658,0.973,1.91,2,1,0,3,6,2,4
